iter	Accuracy	MultiClass
516	0.9178431798	0.2930163836
517	0.9177888792	0.2927654551
518	0.9180603823	0.2925857688
519	0.9177345786	0.2923823936
520	0.9176259774	0.2922418813
521	0.9184404865	0.2919986423
522	0.9182232841	0.2918552232
523	0.9185490877	0.2914766447
524	0.9184404865	0.2913833636
525	0.9186033884	0.2913128243
526	0.9188748914	0.2910919323
527	0.9194721981	0.2908624038
528	0.9194178975	0.2906536896
